GC_weight,GT_weight,AC_weight,AT_weight,optimal_parameters,Z21,Z22,Z26,Z27,Z28,ZMYC2.5,ZMYC3,CG5,GT30,CG14,GT14_non,GT20_non,AT14_non,Z25_non,ZMYC1_non,ZMYC2_non
4,0.5,0.5,0.5,0,65.5,89.5,,,,50.0,,,,108.0,,,,,,
4,0.5,0.75,0.5,0,66.0,89.5,,,,50.5,,,,108.0,,,,,,
4,0.5,1.0,0.5,0,66.5,89.5,,,,51.0,,,,108.0,,,,,,
4,0.5,1.25,0.5,0,67.0,89.5,,,,51.5,,,,108.0,,,,,,
4,0.5,1.5,0.5,0,67.5,89.5,,,,52.0,50.0,,,108.0,,,,,,
4,0.5,1.75,0.5,0,68.0,89.5,,,,52.5,50.5,,,108.0,,,,,,
4,0.5,2.0,0.5,0,68.5,89.5,,,,53.0,51.0,,,108.0,,,,,,
4,0.75,0.5,0.5,0,66.0,91.25,,,,52.5,,,,108.0,,,,,,
4,0.75,0.75,0.5,0,66.5,91.25,,,,53.0,,,,108.0,,,,,,
4,0.75,1.0,0.5,0,67.0,91.25,,,,53.5,,,,108.0,,,,,,
4,0.75,1.25,0.5,0,67.5,91.25,,,,54.0,50.0,,,108.0,,,,,,
4,0.75,1.5,0.5,0,68.0,91.25,,,,54.5,50.5,,,108.0,,,,,,
4,0.75,1.75,0.5,0,68.5,91.25,,,,55.0,51.0,,,108.0,,,,,,
4,0.75,2.0,0.5,0,69.0,91.25,,,,55.5,51.5,,,108.0,,,,,,
4,1.0,0.5,0.5,0,66.5,93.0,,,,55.0,,,51.0,108.0,,,,,,
4,1.0,0.75,0.5,0,67.0,93.0,,,,55.5,,,51.0,108.0,,,,,,
4,1.0,1.0,0.5,0,67.5,93.0,,,,56.0,50.0,,51.0,108.0,,,,,,
4,1.0,1.25,0.5,0,68.0,93.0,,,,56.5,50.5,,51.0,108.0,,,,,,
4,1.0,1.5,0.5,0,68.5,93.0,,,,57.0,51.0,,51.0,108.0,,,,,,
4,1.0,1.75,0.5,0,69.0,93.0,,,,57.5,51.5,,51.0,108.0,,,,,,
4,1.0,2.0,0.5,0,69.5,93.0,,,,58.0,52.0,,51.0,108.0,,,,,,
4,1.25,0.5,0.5,0,67.0,94.75,,,,57.5,,,63.75,108.0,,,,,,
4,1.25,0.75,0.5,0,67.5,94.75,,,,58.0,50.0,,63.75,108.0,,,,,,
